# experiment: b1
# git_commit: 80c10eb5b11178e54c7e2b3fd8fa2d6fa99f1037
# git_dirty: no
# utc: 20260905_131750
# dataset: captures/btcusdt_futures_bookTicker_20260820_130813.bin
# symbol: BTCUSDT
# dataset_records: 13749492
# slice_length: 2000000
# capacity: 16384
# consumer: book
# passes: 3
# qos_class: user_interactive
# page_size: 16384 (apis_agree: yes)
# warm_seconds: 0.0292709
# lap1_ms: 1.80163
# lap2_ms: 1.72917
# lap_ratio: 1.0419  (see note below)
#
# §6.4a records a lap1/lap2 floor of ~1.2, but that came from
# traversing all 13.7M records. A 2M-record slice is ~112 MB,
# far beyond the 16 MB L2, so both laps stream from DRAM and
# there is no first-pass cache benefit to recover. A ratio at
# 1.0 here means no residual paging, which is what warming
# was for. It is not a failed check against the 1.2 floor.
# spin_count: 1000 (parking baseline — §3's blocking condvar)
#
# Latency is intended-send to consumer-dequeue. A datapoint is
# valid only if dropped_records == 0 and p99 producer lag is
# within one offered-rate period. Invalid rows are written
# rather than deleted, with the gate that failed recorded.
pass,arm,rate_hz,pushed,delivered,dropped_records,full_rejections,book_updates,spin_count,signals,parks,p50_lag_ns,p99_lag_ns,max_lag_ns,p50_ns,p90_ns,p99_ns,p999_ns,p9999_ns,max_ns,drop_gate,lag_gate,valid
0,mutex,2e+07,2000000,2000000,0,0,2000000,1000,14812,9899,42528817,84794617,85671783,42534617,77116575,84800050,85592992,85666733,85676683,pass,FAIL,no
1,mutex,100000,2000000,2000000,0,0,2000000,1000,1967898,1928311,0,41,423125,6375,6750,14625,21000,233666,1756125,pass,pass,yes
1,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,42,64459,84,125,125,11917,34542,77625,pass,pass,yes
1,mutex,250000,2000000,2000000,0,0,2000000,1000,1689804,1667121,0,2750,45250,2625,6333,11458,20916,37791,292708,pass,pass,yes
1,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,42,48250,83,83,125,15625,30792,53625,pass,pass,yes
1,mutex,500000,2000000,2000000,0,0,2000000,1000,1177063,822487,0,3291,52291,1916,5750,10708,20750,34375,60958,pass,FAIL,no
1,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,42,53417,83,83,125,13458,27125,53500,pass,pass,yes
1,mutex,1e+06,2000000,2000000,0,0,2000000,1000,999117,655317,0,3750,48333,1208,3667,10917,21000,33500,55917,pass,FAIL,no
1,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,41,28541,83,125,125,13125,26666,55291,pass,pass,yes
1,mutex,2.5e+06,2000000,2000000,0,0,2000000,1000,1954795,1984,16,1408,36150,175,200,5850,18300,29616,43800,pass,FAIL,no
1,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,772883,100,117,150,993842,1668633,1743025,pass,pass,yes
1,mutex,5e+06,2000000,2000000,0,0,2000000,1000,118463,67948,850,5734,33225,3884,7267,15317,26375,40792,53825,pass,FAIL,no
1,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,16,75,47625,91,116,125,14325,29275,47708,pass,pass,yes
1,mutex,1e+07,2000000,2000000,0,0,2000000,1000,19754,13814,4950,36067,68525,11408,23883,49275,80575,152450,166167,pass,FAIL,no
1,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,17,59,22292,92,117,117,10017,18659,22375,pass,pass,yes
1,mutex,2e+07,2000000,2000000,0,0,2000000,1000,14758,9189,43074733,85428975,86293800,43077333,77597391,85434866,86225916,86288208,86297391,pass,FAIL,no
1,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,17,867,33825,100,117,3417,20342,31500,33909,pass,FAIL,no
2,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,42,61417,83,125,167,11792,33542,61542,pass,pass,yes
2,mutex,100000,2000000,2000000,0,0,2000000,1000,1967870,1927884,0,42,51375,6417,6792,14667,19959,38792,449584,pass,pass,yes
2,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,41,234500,83,83,125,13958,203958,757041,pass,pass,yes
2,mutex,250000,2000000,2000000,0,0,2000000,1000,1696145,1671758,0,3542,43167,2625,6375,11708,20833,33542,53333,pass,pass,yes
2,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,42,46792,84,125,125,9375,24542,71459,pass,pass,yes
2,mutex,500000,2000000,2000000,0,0,2000000,1000,1153459,820946,0,3666,46416,1958,5791,10958,27250,44250,58833,pass,FAIL,no
2,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,42,31792,83,125,125,20292,36417,50333,pass,pass,yes
2,mutex,1e+06,2000000,2000000,0,0,2000000,1000,953211,622515,0,3666,52500,1375,4541,10791,20625,34458,63291,pass,FAIL,no
2,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,48034,100,117,117,13259,26734,48117,pass,pass,yes
2,mutex,2.5e+06,2000000,2000000,0,0,2000000,1000,1942393,2352,17,2550,37925,184,200,8167,20975,33267,48209,pass,FAIL,no
2,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,30142,92,117,117,12492,24333,37575,pass,pass,yes
2,mutex,5e+06,2000000,2000000,0,0,2000000,1000,139058,68755,800,5917,35009,3784,6959,15759,28717,42842,53009,pass,FAIL,no
2,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,16,58,36875,91,116,141,16058,29216,36916,pass,pass,yes
2,mutex,1e+07,2000000,2000000,0,0,2000000,1000,19867,13442,4508,24867,47808,10658,21725,40000,57450,68667,80908,pass,FAIL,no
2,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,17,2050,25442,100,117,3775,17575,24484,27392,pass,FAIL,no
2,mutex,2e+07,2000000,2000000,0,0,2000000,1000,15548,10154,42634325,85633400,86495925,42636800,77521600,85636341,86418466,86495666,86505683,pass,FAIL,no
